casting,date,duree,genre,original_title,score,synopsis,title
"David Attenborough,Chadden Hunter,Gordon Buchanan",2016,298,"Documentary,Back to top",,9.5,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Planet Earth II
"Mathieu Kassovitz,Martin Sheen,Rudolf Hess",2009,312,"Documentary,History,War,Back to top",Original title: Apocalypse: La 2ème guerre mondiale,9.0,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",Apocalypse: The Second World War
"David Attenborough,Simon Blakeney,Bill Rudolph",2013,6,"Documentary,Back to top",,9.0,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.",Africa
"Arunabh Kumar,Naveen Kasturia,Arunabh Kumar,Jitendra Kumar",2015–2022,40,"Comedy,Drama,Back to top",,9.1,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,TVF Pitchers
"Ava DuVernay,Asante Blackk,Caleel Harris,Ethan Herisse",2019,296,"Biography,Crime,Drama,Back to top",,8.9,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,When They See Us
"John Oliver,David Kaye,Ryan Barger",2014– ,30,"Comedy,History,News,Back to top",,8.9,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,Last Week Tonight with John Oliver
"David Crane,Marta Kauffman,Jennifer Aniston,Courteney Cox,Lisa Kudrow",1994–2004,22,"Comedy,Romance,Back to top",,8.9,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,Friends
"Graham Chapman,Eric Idle,Terry Jones,Graham Chapman,John Cleese,Terry Gilliam",1969–1974,30,"Comedy,Back to top",,8.8,The original surreal sketch comedy showcase for the Monty Python troupe.,Monty Python's Flying Circus
"Alex Hirsch,Jason Ritter,Alex Hirsch,Kristen Schaal",2012–2016,23,"Animation,Action,Adventure,Back to top",,8.9,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",Gravity Falls
"Hajime Yatate,Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara",1998–1999,24,"Animation,Action,Adventure,Back to top",Original title: Kaubôi bibappu,8.9,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,Cowboy Bebop
"Haluk Bilginer,Cansu Dere,Metin Akdülger",2018,65,"Crime,Drama,Mystery,Back to top",Original title: Sahsiyet,9.0,A man diagnosed with Alzheimer's decides to punish criminals.,Persona
"Noah Hawley,Billy Bob Thornton,Martin Freeman,Allison Tolman",2014– ,53,"Crime,Drama,Thriller,Back to top",,8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",Fargo
"Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko",1989–1990,572,"Drama,Back to top",,9.0,"Ten television drama films, each one based on one of the Ten Commandments.",Dekalog
"Jeremy Clarkson,Kaleb Cooper,Charlie Ireland",2021– ,45,"Documentary,Comedy,Reality-TV,Back to top",,9.0,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,Clarkson's Farm
"Nathan Fielder,Michael Koman,Nathan Fielder,Anthony Filosa,Salomon Flores",2013–2017,30,"Documentary,Comedy,Back to top",,8.9,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",Nathan for You
"The Beatles,John Lennon,Paul McCartney",2021,468,"Documentary,Biography,Music,Back to top",,9.0,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',The Beatles: Get Back
"Anthony Horowitz,Michael Kitchen,Honeysuckle Weeks,Anthony Howell",2002–2015,90,"Crime,Drama,Mystery,Back to top",,8.6,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.",Foyle's War
"Mark Edward Edens,Sidney Iwanter,Eric Lewald,Cedric Smith,Cal Dodd,Lenore Zann",1992–1997,23,"Animation,Action,Adventure,Back to top",Original title: X-Men,8.5,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,X-Men: The Animated Series
